countrycode,countryname,cluster,proba_0,proba_1,proba_2,proba_3,proba_4,proba_5,proba_6,dist_to_centroid_euclid,dist_to_centroid_mahalanobis
AFG,Afghanistan,3,5.171984024234918e-22,0.0,1.0222907760771395e-29,0.9999999999999858,1.45183735603841e-14,2.4700948287175076e-40,0.0,1.510996994293191,2.4494403360207255
AGO,Angola,5,2.2005343427775973e-15,0.0,2.7443480861728595e-114,0.0,1.372252949060965e-06,0.9999986277470487,0.0,0.9520487912511039,3.161317561497165
ALB,Albania,0,0.9999946819559057,0.0,2.72433980991664e-16,0.0,5.318044093781369e-06,7.381578200735991e-93,0.0,0.8314002869564849,2.242735400430974
ARE,United Arab Emirates,2,0.12166439353550178,0.0,0.8783351330717599,0.0,4.733927383403621e-07,2.9976049534603263e-109,0.0,1.365805896160143,3.7312560465270197
ARG,Argentina,2,1.2772198230689663e-07,0.0,0.9997956045042721,0.0,0.0002042677737456324,5.79471627919333e-82,0.0,1.9569074403967033,3.4488307462096675
ARM,Armenia,0,0.9999910989930393,0.0,8.872215288883069e-11,0.0,8.900918238506472e-06,1.6675414218798298e-97,0.0,0.7043495347347353,1.9230058351498482
ATG,Antigua and Barbuda,2,0.1816779053648731,0.0,0.8182881802900526,0.0,3.391434507415878e-05,1.7404445690296137e-139,0.0,1.3757807223779057,3.223336184886063
AUS,Australia,2,0.0015540056180262172,0.0,0.9984459943504497,0.0,3.1523975141789024e-11,3.362810384144158e-129,0.0,0.871753744827246,2.9986518585514
AUT,Austria,2,3.1688648418139404e-07,0.0,0.9999996831132933,0.0,2.2236703917025683e-13,5.982486298268763e-128,0.0,1.346887472988696,2.446144493775702
AZE,Azerbaijan,0,0.9966580540722564,0.0,5.650095527374112e-32,0.0,0.0033419459277436604,1.6060443421206555e-55,0.0,1.4658412322933598,3.2221738092429657
BDI,Burundi,5,1.6801827290654715e-21,0.0,2.0934041721515552e-177,0.0,4.2438544288578485e-05,0.9999575614557115,0.0,1.705210998255301,3.161560823457148
BEL,Belgium,2,1.0226305747016318e-05,0.0,0.9999897736697485,0.0,2.4504655366919508e-11,1.524116697445025e-160,0.0,0.7200377409361021,2.3023630158684343
BEN,Benin,4,6.978417446875412e-05,0.0,3.5505680769077193e-23,0.0,0.9999302158255313,2.4650174732136187e-32,0.0,0.7920478302115743,2.0253609381613744
BFA,Burkina Faso,4,5.699348284571647e-05,0.0,7.8968411795651835e-19,0.0,0.9999430065171543,3.756416112094933e-51,0.0,0.6871071200406059,2.8574511255933
BGD,Bangladesh,4,8.609243296155788e-09,0.0,3.6570953838723886e-38,0.0,0.9999999913907567,6.8367571491819365e-34,0.0,1.6775879157789115,2.791812608980744
BGR,Bulgaria,2,4.422105728193483e-12,0.0,0.9999999935133843,0.0,6.48219398141013e-09,3.2113989525596376e-100,0.0,0.9440680355173735,3.13427457023646
BHR,Bahrain,0,0.9249624707854884,0.0,0.07503668508494275,0.0,8.441295689306747e-07,4.747005354713135e-115,0.0,0.7949477787164081,1.977838352672618
